2024-06-11 20:02:23 - Dispositivo: 1, Secuencia: 78, Aforo: 0
2024-06-11 20:02:48 - Dispositivo: 1, Secuencia: 79, Aforo: 0
2024-06-11 20:03:48 - Dispositivo: 1, Secuencia: 80, Aforo: 0
2024-06-11 20:04:48 - Dispositivo: 1, Secuencia: 81, Aforo: 1
2024-06-11 20:04:53 - Dispositivo: 1, Secuencia: 82, Aforo: 0
2024-06-11 20:04:58 - Dispositivo: 1, Secuencia: 83, Aforo: 1
2024-06-11 20:05:01 - Dispositivo: 1, Secuencia: 84, Aforo: 2
2024-06-11 20:05:18 - Dispositivo: 1, Secuencia: 85, Aforo: 1
2024-06-11 20:05:25 - Dispositivo: 1, Secuencia: 86, Aforo: 2
2024-06-11 20:06:14 - Dispositivo: 1, Secuencia: 87, Aforo: 2
2024-06-11 20:07:14 - Dispositivo: 1, Secuencia: 88, Aforo: 2
2024-06-11 20:08:14 - Dispositivo: 1, Secuencia: 89, Aforo: 2
2024-06-11 20:09:14 - Dispositivo: 1, Secuencia: 90, Aforo: 2
2024-06-11 20:10:14 - Dispositivo: 1, Secuencia: 91, Aforo: 2
2024-06-11 20:11:14 - Dispositivo: 1, Secuencia: 92, Aforo: 2
2024-06-11 20:12:14 - Dispositivo: 1, Secuencia: 93, Aforo: 1
2024-06-11 20:12:51 - Dispositivo: 1, Secuencia: 94, Aforo: 1
2024-06-11 20:13:51 - Dispositivo: 1, Secuencia: 95, Aforo: 0
2024-06-11 20:14:03 - Dispositivo: 1, Secuencia: 96, Aforo: 0
2024-06-11 20:15:03 - Dispositivo: 1, Secuencia: 97, Aforo: 0
2024-06-11 20:16:03 - Dispositivo: 1, Secuencia: 98, Aforo: 0
2024-06-11 20:17:03 - Dispositivo: 1, Secuencia: 99, Aforo: 0
2024-06-11 20:18:03 - Dispositivo: 1, Secuencia: 100, Aforo: 0
2024-06-11 20:19:03 - Dispositivo: 1, Secuencia: 101, Aforo: 0
2024-06-11 20:20:03 - Dispositivo: 1, Secuencia: 102, Aforo: 0
2024-06-11 20:21:03 - Dispositivo: 1, Secuencia: 103, Aforo: 0
2024-06-11 20:22:03 - Dispositivo: 1, Secuencia: 104, Aforo: 0
2024-06-11 20:23:03 - Dispositivo: 1, Secuencia: 105, Aforo: 0
2024-06-11 20:24:03 - Dispositivo: 1, Secuencia: 106, Aforo: 1
2024-06-11 20:24:03 - Dispositivo: 1, Secuencia: 107, Aforo: 0
2024-06-11 20:24:15 - Dispositivo: 1, Secuencia: 108, Aforo: 1
2024-06-11 20:24:18 - Dispositivo: 1, Secuencia: 109, Aforo: 0
